epoch,step,train_loss
0,9,5.705036640167236
0,19,4.977046489715576
0,29,5.994242191314697
0,39,20.222009658813477
0,49,76.33235931396484
0,59,260.1733093261719
0,69,113.5279312133789
0,79,396.4299621582031
0,89,1101.9033203125
0,99,851.5302734375
0,109,849.9518432617188
0,119,828.6276245117188
0,129,1385.572509765625
0,139,1433.4522705078125
0,149,2064.514892578125
0,159,1461.8599853515625
0,169,1239.1893310546875
0,179,964.0552978515625
0,189,1196.9515380859375
0,199,1183.773193359375
0,209,848.0187377929688
0,219,1143.0284423828125
0,229,1717.7469482421875
0,239,1648.744140625
0,249,1797.5863037109375
0,259,1193.2501220703125
0,269,1726.416015625
0,279,1043.3160400390625
0,289,1216.4163818359375
0,299,3144.9384765625
0,309,2865.471923828125
0,319,1139.2373046875
0,329,1156.239013671875
0,339,1497.623046875
0,349,838.8285522460938
0,359,1237.056884765625
0,369,2298.07568359375
0,379,2170.464599609375
0,389,3506.31640625
0,399,2869.075927734375
0,409,2819.381591796875
0,419,4818.45068359375
0,429,3972.159423828125
0,439,12566.05078125
0,449,14707.9736328125
0,459,9065.8095703125
0,469,15384.9794921875
0,479,11492.2548828125
0,489,12905.62109375
0,499,10584.6611328125
0,509,7084.90185546875
0,519,5017.8681640625
0,529,10062.884765625
0,539,6856.2119140625
0,549,7206.82177734375
0,559,8660.892578125
0,569,5842.40087890625
0,579,7420.30419921875
0,589,9350.7880859375
0,599,7913.63916015625
0,609,11645.251953125
0,619,7503.34619140625
0,629,19154.162109375
0,639,15786.2060546875
0,649,7079.7548828125
0,659,10169.53125
0,669,19912.25
0,679,7948.2890625
0,689,5290.30029296875
0,699,20441.990234375
0,709,17753.41015625
0,719,19816.732421875
0,729,19001.693359375
0,739,7337.7470703125
0,749,5870.79541015625
0,759,10626.1748046875
0,769,7483.96240234375
0,779,5706.16748046875
0,789,7744.30859375
0,799,2863.740234375
0,809,3226.802490234375
0,819,2281.642578125
0,829,1974.2685546875
0,839,1408.6683349609375
0,849,829.9011840820312
0,859,2172.41943359375
0,869,1796.6363525390625
0,879,3042.43603515625
0,889,3934.293701171875
0,899,2429.785888671875
0,909,3599.30078125
0,919,4815.3251953125
0,929,4376.87890625
0,939,4406.23828125
0,949,5759.26953125
0,959,10174.970703125
0,969,2810.534912109375
0,979,9292.240234375
0,989,8486.51953125
0,999,7983.01416015625
1,1009,9783.9404296875
1,1019,4490.37060546875
1,1029,5885.20654296875
1,1039,6581.0830078125
1,1049,10222.4091796875
1,1059,11039.6845703125
1,1069,7412.90869140625
1,1079,6225.38427734375
1,1089,8171.5390625
1,1099,8936.595703125
1,1109,16153.7685546875
1,1119,9771.4287109375
1,1129,7829.84912109375
1,1139,10642.587890625
1,1149,9954.8828125
1,1159,17401.41015625
